course_code,course_name_chatgpt,course_name_manual,faculty_chatgpt,level_chatgpt,level_manual,sdgs_chatgpt,sdgs_manual,comparison_status,color,manual_source
1.253.420,Machine Learning,,External institution,MSc,,[],[],only_chatgpt,RED,
4.100.220,Finite Elements in Fluids,,External institution,MSc,,[],[],only_chatgpt,RED,
4051ALACH,General and Inorganic Chemistry,,Applied Sciences,BSc,,[],[],only_chatgpt,RED,
4051CALC1,Calculus 1,,Applied Sciences,BSc,,[],[],only_chatgpt,RED,
4051CALC2,Calculus 2,,Applied Sciences,BSc,,[],[],only_chatgpt,RED,
4051CHAN3,Methods of Chemical Analysis,,Applied Sciences,BSc,,[],[],only_chatgpt,RED,
4051CHTHE,Chemical Thermodynamics,,Applied Sciences,BSc,,[],[],only_chatgpt,RED,
4051INCHE,Inorganic Chemistry,,Applied Sciences,BSc,,[],[],only_chatgpt,RED,
4051IPTEC,Introduction to Process Technology,,Applied Sciences,BSc,,[],[],only_chatgpt,RED,
4051LEON1,Undergraduate Research Project 1,,Applied Sciences,BSc,,[16],[],only_chatgpt,RED,
4051ORGC1,Organic Chemistry 1,,Applied Sciences,BSc,,[],[],only_chatgpt,RED,
4051PRBVA,Basic Laboratory Skills Course,,Applied Sciences,BSc,,[],[],only_chatgpt,RED,
4051QCHFY,Quantum Chemistry and Physics,,Applied Sciences,BSc,,[],[],only_chatgpt,RED,
4051STRUA,Structure Elucidation,,Applied Sciences,BSc,,[],[],only_chatgpt,RED,
4052BIOC6,Biochemistry,,Applied Sciences,BSc,,[],[],only_chatgpt,RED,
4052BMOCH,Biomolecular Chemistry,,Applied Sciences,BSc,,[],[],only_chatgpt,RED,
4052CHBIO,Chemical Biotechnology,Chemical Biotechnology,Applied Sciences,BSc,BSc,"[12, 13]","[7, 9, 12, 13]",mismatch,ORANGE,AS.csv
4052CHFVS,Chemistry and Physics of Solid Materials,,Applied Sciences,BSc,,[],[],only_chatgpt,RED,
4052CHREK,Chemical Reactor Engineering,,Applied Sciences,BSc,,[],[],only_chatgpt,RED,
4052ENRV6,"Energy, Recycling and Safety","Energy, Recycling and Safety",Applied Sciences,BSc,BSc,"[7, 9, 12, 13]","[7, 8, 9, 12, 13]",mismatch,ORANGE,AS.csv
4052FYSC6,Physiological Chemistry,Physiological Chemistry,Applied Sciences,BSc,BSc,[3],[3],match,GREEN,AS.csv
4052FYSCK,Physical Chemistry and Kinetics,Physical Chemistry and Kinetics,Applied Sciences,BSc,BSc,[],[7],mismatch,ORANGE,AS.csv
4052FYSTR,Physical Transport Phenomena,,Applied Sciences,BSc,,[],[],only_chatgpt,RED,
4052KATAL,Catalysis,Catalysis,Applied Sciences,BSc,BSc,[9],[9],match,GREEN,AS.csv
4052LADIF,Linear Algebra and Differential Equations,,Applied Sciences,BSc,,[],[],only_chatgpt,RED,
4052LEON2,Research Project 2,,Applied Sciences,BSc,,[],[],only_chatgpt,RED,
4052LEON3,Chemical Product Design,,Applied Sciences,BSc,,[],[],only_chatgpt,RED,
4052LEON4,Bachelor Thesis Project,,Applied Sciences,BSc,,[],[],only_chatgpt,RED,
4052NUMT3,Numerical Techniques,,Applied Sciences,BSc,,[],[],only_chatgpt,RED,
4052ORGC2,Organic Chemistry 2,,Applied Sciences,BSc,,[],[],only_chatgpt,RED,
4052SCHTE,Separation Technology,,Applied Sciences,BSc,,[],[],only_chatgpt,RED,
4052STAME,Statistical Methods,,Applied Sciences,BSc,,[],[],only_chatgpt,RED,
4052STEVM,Structure and Properties of Materials,,Applied Sciences,BSc,,[],[],only_chatgpt,RED,
4052STTS6,Statistical Thermodynamics / Spectroscopy,,Applied Sciences,BSc,,[],[],only_chatgpt,RED,
4052THECH,Theoretical Chemistry,,Applied Sciences,BSc,,[],[],only_chatgpt,RED,
4082LINAN,Linear Analysis,,External institution,MSc,,[],[],only_chatgpt,RED,
4343APQAL,Applied Quantum Algorithms,,External institution,MSc,,[],[],only_chatgpt,RED,
4343INTML,Introduction to Machine Learning,,External institution,MSc,,[],[],only_chatgpt,RED,
4373INTDS,Introduction to Dynamical Systems,,External institution,MSc,,[],[],only_chatgpt,RED,
4373REPTH,Representation Theory,,External institution,MSc,,[],[],only_chatgpt,RED,
4403CMPHAY,Computational Physics A,,External institution,MSc,,[],[],only_chatgpt,RED,
4403CMPHBY,Computational Physics B,,External institution,MSc,,[],[],only_chatgpt,RED,
4403COPH6,Condensed Matter Physics,,External institution,MSc,,[],[],only_chatgpt,RED,
4403EFTH3Y,Effective Field Theory,,External institution,MSc,,[],[],only_chatgpt,RED,
4403PHML3Y,Physics of Machine Learning,,External institution,MSc,,[],[],only_chatgpt,RED,
4403QFTH6Y,Quantum Field Theory,,External institution,MSc,,[],[],only_chatgpt,RED,
4403QOPT6,Quantum Optics,,External institution,MSc,,[],[],only_chatgpt,RED,
4403QUTH6,Quantum Theory,,External institution,MSc,,[],[],only_chatgpt,RED,
4403STPHAY,Statiscal Physics,,External institution,MSc,,[],[],only_chatgpt,RED,
4403TCM06,Theory of Condensed Matter,,External institution,MSc,,[],[],only_chatgpt,RED,
4403TGR64,Theory of General Relativity,,External institution,MSc,,[],[],only_chatgpt,RED,
4413BYGR5,Beyond Growth,Beyond Growth,"Technology, Policy and Management",MSc,MSc,"[10, 12, 13]","[1, 3, 8, 10, 11, 12, 13, 15, 16, 17]",mismatch,ORANGE,TPM.csv
4413CIRC5,Circular Economy,Circular Economy,"Technology, Policy and Management",MSc,MSc,"[9, 12, 13]","[7, 8, 9, 11, 12, 13, 14, 15, 17]",mismatch,ORANGE,TPM.csv
4413EASYS,Earth System Science and Analysis,Earth System Science and Analysis,"Technology, Policy and Management",MSc,MSc,"[12, 13, 15]","[6, 7, 11, 12, 13, 14, 15, 17]",mismatch,ORANGE,TPM.csv
4413EIOAT,Environmental Input-Output Analysis,Environmental Input-Output Analysis,"Technology, Policy and Management",MSc,MSc,"[9, 12, 13]","[2, 7, 8, 11, 12, 13, 14, 15, 17]",mismatch,ORANGE,TPM.csv
4413GIS20,GIS: Spatial analysis in urban regions,GIS: Spatial analysis in urban regions,"Technology, Policy and Management",MSc,MSc,"[9, 11, 12, 13]","[11, 12, 13, 14, 15, 17]",mismatch,ORANGE,TPM.csv
4413IECS2Y,Industrial Ecology Capita Selecta Module,,"Technology, Policy and Management",MSc,,[],[],only_chatgpt,RED,
4413IECS3Y,Industrial Ecology Capita Selecta Module,,"Technology, Policy and Management",MSc,,[],[],only_chatgpt,RED,
4413IECS4Y,Industrial Ecology Capita Selecta Module,,"Technology, Policy and Management",MSc,,[],[],only_chatgpt,RED,
4413IECS5Y,Industrial Ecology Capita Selecta Module,,"Technology, Policy and Management",MSc,,[],[],only_chatgpt,RED,
4413IECS6Y,Industrial Ecology Capita Selecta Module,,"Technology, Policy and Management",MSc,,[],[],only_chatgpt,RED,
4413INTPR,Integrated Project: Industrial and Urban Systems,Integrated Project: Industrial and Urban Systems,"Technology, Policy and Management",MSc,MSc,"[6, 7, 9, 11, 12, 13, 17]","[6, 7, 9, 11, 12, 13, 15, 17]",mismatch,ORANGE,TPM.csv
4413LCA10,LCA Practice en Reporting,LCA Practice en Reporting,"Technology, Policy and Management",MSc,MSc,"[9, 12, 13]","[7, 9, 12, 13]",mismatch,ORANGE,TPM.csv
4413MAPPT,Methods: Analysing Physical Processes,Methods: Analysing Physical Processes,"Technology, Policy and Management",MSc,MSc,"[9, 12]","[6, 7, 9, 12, 13, 14, 15]",mismatch,ORANGE,TPM.csv
4413MASPL,Methods: Analysing Social Processes,Methods: Analysing Social Processes,"Technology, Policy and Management",MSc,MSc,[],"[7, 10, 11, 16, 17]",mismatch,ORANGE,TPM.csv
4413MFA10,Material Flow Analysis,Material Flow Analysis,"Technology, Policy and Management",MSc,MSc,"[9, 11, 12, 13]","[7, 8, 9, 11, 12, 13]",mismatch,ORANGE,TPM.csv
4413SDIEL,System Design for Industrial Ecology,System Design for Industrial Ecology,"Technology, Policy and Management",MSc,MSc,[],"[9, 11, 12, 13]",mismatch,ORANGE,TPM.csv
4413SOCMB,Society's Metabolism,Society's Metabolism,"Technology, Policy and Management",MSc,MSc,"[2, 6, 12, 13]","[6, 7, 8, 11, 12, 13, 14, 15, 17]",mismatch,ORANGE,TPM.csv
4413SUAP6,Sustainability Analysis in Python,Sustainability Analysis in Python,"Technology, Policy and Management",MSc,MSc,[],"[9, 12, 13]",mismatch,ORANGE,TPM.csv
4413SUSAP,Sustainability Analysis in Python,Sustainability Analysis in Python,"Technology, Policy and Management",MSc,MSc,[],"[9, 12, 13]",mismatch,ORANGE,TPM.csv
