course_name,course_code,description,learning_objectives,level,faculty,url
Machine Learning,1.253.420,,,Master,External institution,https://studiegids.tudelft.nl/courses/study-guide/educations/22193
Finite Elements in Fluids,4.100.220,,,Master,External institution,https://studiegids.tudelft.nl/courses/study-guide/educations/22194
General and Inorganic Chemistry,4051ALACH,"De cursus biedt een breed overzicht van de anorganische en fysische fundamenten van de chemie.

Het behandelt in het eerste deel een beschrijving op microscopisch niveau van materie met nadruk op atomaire en moleculaire structuur.

In het tweede deel komt de opbouw van vaste stoffen, de beschrijving van gassen en vloeistoffen/oplossingen, en de overgangen tussen verschillende fasen ter sprake. Dit biedt een inleiding op chemische omzettingen van stoffen met nadruk op zuur-base en elektrochemische reacties, de thermodynamische en kinetische beschrijving van reacties en het ontstaan van evenwichten.","1. De student kent de kwantumchemische opbouw van atomen en kan hiermee periodieke eigenschappen uitleggen.

2. De student kent de moleculaire opbouw van materialen en kan de relatie tussen de atomaire/moleculaire structuur en de macroscopische eigenschappen verklaren.

3. De student kan fasediagrammen en de daarbij horende vergelijkingen toepassen om faseovergangen te beschrijven en door te rekenen.

4. De student is bekend met elementaire principes uit de thermodynamica en reactiekinetiek en kan deze toepassen op chemische reacties en evenwichten, met name m.b.t. zuur-base reacties en elektrochemie.",Bachelor,Applied Sciences,https://studiegids.tudelft.nl/courses/study-guide/educations/16939
Calculus 1,4051CALC1,"Cursus Calculus met de onderwerpen Complexe getallen, Limieten en differentiëren, Integreren, Differentiaalvergelijkingen, Reeksen, Vectoren lijnen en vlakken.","Complexe getallen:
- De student kan rekenkundige bewerkingen uitvoeren met complexe getallen, de modulus en het argument van een complex getal bepalen, een complex getal als e-macht schrijven en een schets maken van het complex getal in het complexe vlak.
- De student kan kwadratische vergelijkingen oplossen en de n-de machtswortels van een complex getal bepalen.

Limieten en differentiëren:
- De student kent de begrippen limiet, continuïteit, differentieerbaarheid en differentiaal.
- De student kan limieten bepalen door in te klemmen, door de hoofdzaak uit te delen, met de regel van de l'Hospital, en met Taylorpolynomen.
- De student kan impliciet differentiëren, en raaklijnen aan krommen en lineariseringen van functies bepalen.

Integreren:
- De student kan eenvoudige onbepaalde en bepaalde (enkelvoudige) integralen uitrekenen, indien nodig m.b.v. substitutie, breuksplitsen en partiële integratie.
- De student kent de (eigenschappen van de) inverse functies arcsin, arccos en arctan.
- De student herkent oneigenlijke integralen en kan bepalen of ze convergent dan wel divergent zijn.

Differentiaalvergelijkingen:
- De student kan een differentiaalvergelijking opstellen voor sommige fysische situaties.
- De student kan 1e-orde differentiaalvergelijkingen oplossen door een e-macht in te vullen, m.b.v. scheiding van variabelen of m.b.v. een integrerende factor.
- De student kan de oplossing benaderen met de methode van Euler.
- De student kan zowel homogene als eenvoudige inhomogene, lineaire 2e-orde differentiaalvergelijkingen met constante coëfficiënten oplossen.
- De student kan oplossingen van de vorm A cos(omega t)+B sin(omega t) omschrijven in de vorm C cos(omega t - alpha).

Reeksen:
- De student kan de somnotatie gebruiken. De student kent de definities van convergente en divergente rijen en reeksen. De student kan van een convergente recursief gedefinieerde rij de limiet bepalen.
- De student herkent meetkundige reeksen en p-reeksen en weet wanneer die convergent of divergent zijn. Van een convergente meetkundige reeks kan de student de som bepalen.
- Van reeksen kan de student met de nde-term-test divergentie aantonen en de integraaltest toepassen om convergentie dan wel divergentie aan te tonen.
- De student kan een functie benaderen met een Taylorpolynoom en daarvan op een bepaald interval de fout schatten.

Vectoren, lijnen en vlakken:
- De student kan vectoren optellen en scalair vermenigvuldigen. De student kan inwendig en uitwendig producten, lengtes, afstanden, hoeken en determinanten uitrekenen. De student kan oppervlaktes van driehoeken en parallellogrammen en volumes van tetraeders en parallelepipeda uitrekenen.
- De student kan met een middelpunt en een straal een vergelijking voor een bol opstellen, en kan andersom (eventueel met kwadraat afsplitsen) uit een vergelijking voor een bol, het middelpunt en de straal bepalen.
- De student kan parametervoorstellingen van lijnen en vlakken bepalen, en met behulp van een normaalvector een vergelijking voor een vlak bepalen.",Bachelor,Applied Sciences,https://studiegids.tudelft.nl/courses/study-guide/educations/16940
Calculus 2,4051CALC2,"Functies van meer veranderlijken, meervoudige integralen, lineaire algebra","Na succesvolle afronding van dit vak ben je in staat tot:

1. Het begrijpen van wat een partiële afgeleide is, en het kunnen berekenen van de partiële afgeleiden van diverse functies.
2. Het toepassen van partiële afgeleiden om extreme waarden, richtingsafgeleiden, en gradiënten te vinden.
3. Het toepassen van kennis van meervoudige integralen en van kennis van nieuwe coördinatenstelstels (met name pool-, bol-, en cilindercoördinaten) om meervoudige integralen te berekenen.
4. Het toepassen van algoritmes om lineaire stelsels op te lossen, inclusief door het gebruik van matrices.
5. Het berekenen van producten en inverses van matrices.
6. Het toepassen van de determinant en de eigenwaarden/eigenvectoren van een matrix om lineaire dynamische systemen op te lossen.",Bachelor,Applied Sciences,https://studiegids.tudelft.nl/courses/study-guide/educations/16941
Methods of Chemical Analysis,4051CHAN3,"Dit vak wordt in 2025-2026 gegeven door Dr. Alexander (A.) Kros.

Het vak omvat de basisbeginselen van chemische analyse waaronder monstervoorbereiding, foutenanalyse, statistiek, basisprincipes van gas- en vloeistofchromatografie, electroforese, spectrofotometrie en massa spectrometrie.","Na afloop van de cursus:

- kan de student de basisprincipes en werking van gas- en vloeistofchromatografie en een aantal spectroscopische technieken uitleggen.
- kan de student aangeven hoe betrouwbaar een meting is en welke fout er in de meting zit",Bachelor,Applied Sciences,https://studiegids.tudelft.nl/courses/study-guide/educations/16942
Chemical Thermodynamics,4051CHTHE,"De te behandelen hoofdstukken 1-9 uit Engel and Reid bevatten de volgende onderwerpen:

Fundamental concepts
Heat, work and internal energy
The importance of state functions
Thermochemistry
Entropy and the second and third law of thermodynamics
Chemical Equilibrium
The properties of real gasses
Phase diagrams and the relative stability of solids, liquids and gases
Ideal and real solutions","Na het bestuderen van het vak dient de student:

a. kennis te hebben van de basisbegrippen en wetmatigheden uit de thermodynamica;
b. op basis van thermodynamische wetmatigheden het gedrag van eenvoudige thermodynamische systemen kwalitatief te kunnen voorspellen;
c. op basis van het geleerde kwantitatieve berekeningen te kunnen doen aan eenvoudige processen en systemen

Dat betekent dat de student vragen moet kunnen beantwoorden zoals:

-Welke wetten beschrijven het gedrag van een ideaal gas; onder welke condities gaat een ideaal gas over in een niet-ideaal gas?
-Wat is specifiek warmte en hoe gebruik je die om de temperatuurafhankelijkheid van de enthalpie en de entropie te berekenen?
-Waarom is het onmogelijke warmte geheel in arbeid om te zetten in een cyclisch proces?
-Wat is een Carnot cyclus?
-Hoe bereken je de entropie, enthalpie en de Gibbs energie van een chemische reactie als een functie van temperatuur en druk?
-Hoe bereken je de evenwichtsconstante van een reactie?
-Hoe bereken je de osmotische druk?",Bachelor,Applied Sciences,https://studiegids.tudelft.nl/courses/study-guide/educations/16943
Inorganic Chemistry,4051INCHE,"Aan de hand van belangrijke toepassingen van metalen in de natuur, in geneeskunde, in materialen of in de homogene katalyse worden begrippen uit de coördinatiechemie uitgelegd. Deze begrippen omvatten: aard van de coördinatiebinding; coördinatiegetal, symmetrie, geometrie en isomerie van complexen; 18-elektronenregel; stabiliteit en reactiviteit van complexen; spintoestanden en magnetisme; oxidatietoestanden en redoxchemie, ligandveldopsplitsingen en ligandveldstabilisatie-energie.","Na het behalen van het tentamen:

- is de student in staat om de verschillende aspecten van de coördinatiechemie (o.a. isomerie, elektronentelling, jargon) toe te lichten en toe te passen.
- kan de student de ligandveldopsplitsing van d-orbitalen in verschillende geometrieën beredeneren.
- kan de student een oordeel vellen over stabiliteit en reactiviteit van een willekeurige coördinatieverbinding.
- is de student in staat om de systematische naam van simpele coördinatieverbindingen op te stellen of te interpreteren.",Bachelor,Applied Sciences,https://studiegids.tudelft.nl/courses/study-guide/educations/16944
Introduction to Process Technology,4051IPTEC,Oplossen van elementaire problemen in de procestechnology door het opstellen van massa- en energiebalansen en relaties voor fase evenwichten.,"Na het volgen van dit vak zijn studenten in staat om:

1. uit te leggen wat de rol van een chemisch ingenieur is in de samenleving.
2. de nomenclature in chemical engineering te herkennen; procesvariabelen te definieren en te relateren; unit operaties uit de chemische technologie te beschrijven en kwalitatief uit te leggen hoe ze werken.
3 (!!!). een systematische aanpak te volgen om problemen in de chemische technologie op te lossen; variabelen te identificeren, een stromingsdiagram te tekenen en te labellen op basis van een uitleg van beschrijving van een chemisch proces; een vrijheidsgraden analyse uit te voeren en te gebruiken.
4. in een team aan een opdracht te werken; te herkennen welke vaardigheden nodig zijn om in een team te werken; een helder gestructureerd rapport te schrijven.",Bachelor,Applied Sciences,https://studiegids.tudelft.nl/courses/study-guide/educations/16945
Undergraduate Research Project 1,4051LEON1,"In Research Project 1 (Leren Onderzoeken 1), students develop their practical lab skills and academic research skills by carrying out a 3-week research project within one of the research groups in the Leiden Institute of Chemistry (Leiden) or the Departments of Chemical Engineering or Radiation, Science en Technology (Delft). The projects are typically part of ongoing research within these groups, and supervised by PhD students, postdocs and principle investigators within these groups.

At the end of the research projects, the course is concluded by a measurement report (in pairs) and a student symposium, where each pair of students present their work via a poster or oral presentation.

In preparation for the lab work and symposium, the following additional modules are part of the LO1 course:
- A fire extinguishing course (1 hour)
- Information literacy module 1 (TU Delft Library - Information Literacy 1)
- Safety assignment on risk analysis for working with chemicals
- Oral presentation course (Mondeling Presenteren - 6 x 2 hours)","The course is part of the 'Research Skills' curriculum within MST, which starts at the Basic Laboratory Skills lab course (PBV).

Practical work

1. Literature search. Knowledge of relevant literature and data sources
2. Getting ready for practical experimentation: The capability to prepare experiments (define the goals, describe the experimental details); Environment and safety: the ability to work safely with chemicals, taking into account their physical and chemical properties, with special regard for the possible specific dangers that are associated with these compounds; Proficiency in making a risk analysis of the use of chemicals.
3. The gathering and compilation of experimental data:
Dexterity in carrying out standard laboratory experiments, as well as in the use of instrumentation for synthetic and analytical tasks; Dexterity in following the progress of the experiment, by collecting data from observation and measurements and reporting them correctly (as e.g. in a lab journal).
4. The analysis and processing of experimental data: The evaluation and interpretation of observations and data collected in the laboratory and the ability to relate these to an appropriate theory; Ethics: perception of ones professional and ethical responsibility.
5. Employment attitude and teamwork: Dedication, motivation, enthusiasm, creativity; Capability to work in a (multicultural and multidisciplinary) team; Active participation, effective cooperation, effectiveness in discussions, social contacts.
6. Reporting: Ability to report, both orally and in writing, with proper regard for the requirements demanded by scientific communication and responsiveness; Proficiency in effective communication, in the Dutch as well as in the English language, thereby using modern ways and means of presentation.

Oral Presentation module

At the end of the course you should be able to:

1. Present complex material clearly to both expert and non-expert audiences;
2. Apply structural elements that are offered in the course;
3. Use presentation techniques such as:
- Using various hand gestures
- Using vocal variety
- Keeping a good posture;
4. Create attractive slides that support your presentation;
5. Interact with your audience and respond to their reactions and questions professionally.",Bachelor,Applied Sciences,https://studiegids.tudelft.nl/courses/study-guide/educations/16946
