course_name,course_code,level,faculty,url,sdg_1,sdg_2,sdg_3,sdg_4,sdg_5,sdg_6,sdg_7,sdg_8,sdg_9,sdg_10,sdg_11,sdg_12,sdg_13,sdg_14,sdg_15,sdg_16,sdg_17
Machine Learning,1.253.420,Master,External institution,https://studiegids.tudelft.nl/courses/study-guide/educations/22193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finite Elements in Fluids,4.100.220,Master,External institution,https://studiegids.tudelft.nl/courses/study-guide/educations/22194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
General and Inorganic Chemistry,4051ALACH,Bachelor,Applied Sciences,https://studiegids.tudelft.nl/courses/study-guide/educations/16939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Calculus 1,4051CALC1,Bachelor,Applied Sciences,https://studiegids.tudelft.nl/courses/study-guide/educations/16940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Calculus 2,4051CALC2,Bachelor,Applied Sciences,https://studiegids.tudelft.nl/courses/study-guide/educations/16941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Methods of Chemical Analysis,4051CHAN3,Bachelor,Applied Sciences,https://studiegids.tudelft.nl/courses/study-guide/educations/16942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chemical Thermodynamics,4051CHTHE,Bachelor,Applied Sciences,https://studiegids.tudelft.nl/courses/study-guide/educations/16943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Inorganic Chemistry,4051INCHE,Bachelor,Applied Sciences,https://studiegids.tudelft.nl/courses/study-guide/educations/16944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Introduction to Process Technology,4051IPTEC,Bachelor,Applied Sciences,https://studiegids.tudelft.nl/courses/study-guide/educations/16945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Undergraduate Research Project 1,4051LEON1,Bachelor,Applied Sciences,https://studiegids.tudelft.nl/courses/study-guide/educations/16946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
