Field name,Course code///Vakcode,Course name///Vaknaam,Link,Sustainable course?///Duurzaam vak?,Level///Niveau,Faculty///Faculteit,SDGs///SDG's,Comments///Toelichting,Internal comments,
FALSE,BM3102A,Bewegingsapparaat: anatomie en sturing,https://studiegids.tudelft.nl/a101_displayCourse.do?course_id=61148,No,Minor,"Mechanical, Maritime and Materials Engineering",[],,,
FALSE,BM3105-18,BME Minor Projects,https://studiegids.tudelft.nl/a101_displayCourse.do?course_id=61149,No,Minor,"Mechanical, Maritime and Materials Engineering",[],,,
FALSE,BM3106-18,Orthopedic Biomaterials,https://studiegids.tudelft.nl/a101_displayCourse.do?course_id=61150,No,Minor,"Mechanical, Maritime and Materials Engineering",[],,,
FALSE,BM3108,Medical Imaging,https://studiegids.tudelft.nl/a101_displayCourse.do?course_id=61151,No,Minor,"Mechanical, Maritime and Materials Engineering",[],,,
FALSE,BM3109,General Introduction in Biomedical Engineering,https://studiegids.tudelft.nl/a101_displayCourse.do?course_id=61147,No,Minor,"Mechanical, Maritime and Materials Engineering",[],,,
TRUE,BM41035,Biomaterials,https://studiegids.tudelft.nl/a101_displayCourse.do?course_id=61033,No,MSc,"Mechanical, Maritime and Materials Engineering","[3, 9, 12]",,,
FALSE,BM41040,Neuromechanics & Motor Control,https://studiegids.tudelft.nl/a101_displayCourse.do?course_id=60817,No,MSc,"Mechanical, Maritime and Materials Engineering",[],,,
FALSE,BM41050,Applied Experimental Methods: Medical Instruments,https://studiegids.tudelft.nl/a101_displayCourse.do?course_id=61034,No,MSc,"Mechanical, Maritime and Materials Engineering",[],,,
FALSE,BM41055,Anatomy and Physiology,https://studiegids.tudelft.nl/a101_displayCourse.do?course_id=60830,No,MSc,"Mechanical, Maritime and Materials Engineering",[],,,
TRUE,BM41070,Medical Device Prototyping,https://studiegids.tudelft.nl/a101_displayCourse.do?course_id=60822,No,MSc,"Mechanical, Maritime and Materials Engineering","[3, 9, 12]",,,
FALSE,BM41075,Regenerative Medicine,https://studiegids.tudelft.nl/a101_displayCourse.do?course_id=61039,No,MSc,"Mechanical, Maritime and Materials Engineering",[],,,
FALSE,BM41090,Computational Mechanics of Tissues and Cells,https://studiegids.tudelft.nl/a101_displayCourse.do?course_id=61031,No,MSc,"Mechanical, Maritime and Materials Engineering",[],,,
FALSE,BM41095,"Medical Devices: Past, Present, Future",https://studiegids.tudelft.nl/a101_displayCourse.do?course_id=61035,No,MSc,"Mechanical, Maritime and Materials Engineering",[],,,
FALSE,BM41100,Medical Devices: Designing for CE-marking,https://studiegids.tudelft.nl/a101_displayCourse.do?course_id=61038,No,MSc,"Mechanical, Maritime and Materials Engineering",[],,,
FALSE,BM41130,Tissue Biomechanics,https://studiegids.tudelft.nl/a101_displayCourse.do?course_id=61032,No,MSc,"Mechanical, Maritime and Materials Engineering",[],,,
FALSE,BM41140,Fundamentals of Biomedical Engineering,https://studiegids.tudelft.nl/a101_displayCourse.do?course_id=61017,No,MSc,"Mechanical, Maritime and Materials Engineering",[],,,
FALSE,BM41155,3D Printing,https://studiegids.tudelft.nl/a101_displayCourse.do?course_id=60841,No,MSc,"Mechanical, Maritime and Materials Engineering",[],,,
FALSE,BM51010,BME Literature Research,https://studiegids.tudelft.nl/a101_displayCourse.do?course_id=61052,No,MSc,"Mechanical, Maritime and Materials Engineering",[],,,
FALSE,BM51015,BME Research Internship,https://studiegids.tudelft.nl/a101_displayCourse.do?course_id=61050,No,MSc,"Mechanical, Maritime and Materials Engineering",[],,,
FALSE,BM51035,BME MSc Thesis,https://studiegids.tudelft.nl/a101_displayCourse.do?course_id=61051,No,MSc,"Mechanical, Maritime and Materials Engineering",[],,,
FALSE,KT1005,Wiskunde 1 & 2 en programmeren,https://studiegids.tudelft.nl/a101_displayCourse.do?course_id=62984,No,BSc,"Werktuigbouwkunde, Maritieme Techniek & Technische Materiaalwetenschappen",[],,,
FALSE,KT1105,Systeembiologie,https://studiegids.tudelft.nl/a101_displayCourse.do?course_id=62985,No,BSc,"Werktuigbouwkunde, Maritieme Techniek & Technische Materiaalwetenschappen",[],,,
FALSE,KT1305,Spijsvertering en thermodynamica,https://studiegids.tudelft.nl/a101_displayCourse.do?course_id=62986,No,BSc,"Werktuigbouwkunde, Maritieme Techniek & Technische Materiaalwetenschappen",[],,,
FALSE,KT1405,Spierskeletsysteem en biomechanica 1,https://studiegids.tudelft.nl/a101_displayCourse.do?course_id=62987,No,BSc,"Werktuigbouwkunde, Maritieme Techniek & Technische Materiaalwetenschappen",[],,,
FALSE,KT1505,Zenuwstelsel en Signalen,https://studiegids.tudelft.nl/a101_displayCourse.do?course_id=62988,No,BSc,"Werktuigbouwkunde, Maritieme Techniek & Technische Materiaalwetenschappen",[],,,
FALSE,KT1605,Cardiovasculair en respiratoir systeem en biomedische instrumentatie 1,https://studiegids.tudelft.nl/a101_displayCourse.do?course_id=62989,No,BSc,"Werktuigbouwkunde, Maritieme Techniek & Technische Materiaalwetenschappen",[],,,
FALSE,KT1705,Bloedcelvorming en afweer,https://studiegids.tudelft.nl/a101_displayCourse.do?course_id=62990,No,BSc,"Werktuigbouwkunde, Maritieme Techniek & Technische Materiaalwetenschappen",[],,,
FALSE,KT1805,Uro-Genitaal Systeem en Statistiek,https://studiegids.tudelft.nl/a101_displayCourse.do?course_id=62991,No,BSc,"Werktuigbouwkunde, Maritieme Techniek & Technische Materiaalwetenschappen",[],,,
FALSE,KT1905,Vaardigheden en veiligheid 1,https://studiegids.tudelft.nl/a101_displayCourse.do?course_id=62992,No,BSc,"Werktuigbouwkunde, Maritieme Techniek & Technische Materiaalwetenschappen",[],,,
FALSE,KT1955,Academische vorming 1,https://studiegids.tudelft.nl/a101_displayCourse.do?course_id=62993,No,BSc,"Werktuigbouwkunde, Maritieme Techniek & Technische Materiaalwetenschappen",[],,,
FALSE,KT2101,"Endocrine system, modelling and control technology",https://studiegids.tudelft.nl/a101_displayCourse.do?course_id=61165,No,BSc,"Mechanical, Maritime and Materials Engineering",[],,,
FALSE,KT2201,Wiskunde 3 en Golven,https://studiegids.tudelft.nl/a101_displayCourse.do?course_id=61166,No,BSc,"Werktuigbouwkunde, Maritieme Techniek & Technische Materiaalwetenschappen",[],,,
FALSE,KT2301,Medische Beeldvorming bij grote ziektebeelden,https://studiegids.tudelft.nl/a101_displayCourse.do?course_id=61167,No,BSc,"Werktuigbouwkunde, Maritieme Techniek & Technische Materiaalwetenschappen",[],,,
FALSE,KT2401,Spierskeletsysteem en biomechanica 2,https://studiegids.tudelft.nl/a101_displayCourse.do?course_id=61168,No,BSc,"Werktuigbouwkunde, Maritieme Techniek & Technische Materiaalwetenschappen",[],,,
FALSE,KT2505,Zintuigen en Signalen,https://studiegids.tudelft.nl/a101_displayCourse.do?course_id=63072,No,BSc,"Werktuigbouwkunde, Maritieme Techniek & Technische Materiaalwetenschappen",[],,,
FALSE,KT2601,Cardiovasculair en respiratoir systeem en biomedische instrumentatie 2,https://studiegids.tudelft.nl/a101_displayCourse.do?course_id=61169,No,BSc,"Werktuigbouwkunde, Maritieme Techniek & Technische Materiaalwetenschappen",[],,,
FALSE,KT2700,Ontwerpen medische technologie,https://studiegids.tudelft.nl/a101_displayCourse.do?course_id=61171,No,BSc,"Werktuigbouwkunde, Maritieme Techniek & Technische Materiaalwetenschappen",[],,,
FALSE,KT2751,Kennismaking beroepspraktijk en zorgstage,https://studiegids.tudelft.nl/a101_displayCourse.do?course_id=61170,No,BSc,"Werktuigbouwkunde, Maritieme Techniek & Technische Materiaalwetenschappen",[],,,
FALSE,KT2802,Technische Heelkunde,https://studiegids.tudelft.nl/a101_displayCourse.do?course_id=61172,No,BSc,"Werktuigbouwkunde, Maritieme Techniek & Technische Materiaalwetenschappen",[],,,
FALSE,KT2852,Signalen en Stochastiek,https://studiegids.tudelft.nl/a101_displayCourse.do?course_id=61173,No,BSc,"Werktuigbouwkunde, Maritieme Techniek & Technische Materiaalwetenschappen",[],,,
FALSE,KT2902,Klinische Vaardigheden en Professioneel Gedrag 2,https://studiegids.tudelft.nl/a101_displayCourse.do?course_id=61163,No,BSc,"Werktuigbouwkunde, Maritieme Techniek & Technische Materiaalwetenschappen",[],,,
FALSE,KT2952,Academische Vorming 2,https://studiegids.tudelft.nl/a101_displayCourse.do?course_id=61164,No,BSc,"Werktuigbouwkunde, Maritieme Techniek & Technische Materiaalwetenschappen",[],,,
FALSE,KT3302,Spijsvertering,https://studiegids.tudelft.nl/a101_displayCourse.do?course_id=61184,No,BSc,"Werktuigbouwkunde, Maritieme Techniek & Technische Materiaalwetenschappen",[],,,
FALSE,KT3352,Medische Beeldverwerking,https://studiegids.tudelft.nl/a101_displayCourse.do?course_id=61185,No,BSc,"Werktuigbouwkunde, Maritieme Techniek & Technische Materiaalwetenschappen",[],,,
FALSE,KT3401,Intensive Care en Computersimulatie,https://studiegids.tudelft.nl/a101_displayCourse.do?course_id=61182,No,BSc,"Werktuigbouwkunde, Maritieme Techniek & Technische Materiaalwetenschappen",[],,,
FALSE,KT3501,Complexe diagnose-therapie-combinaties,https://studiegids.tudelft.nl/a101_displayCourse.do?course_id=61183,No,BSc,"Werktuigbouwkunde, Maritieme Techniek & Technische Materiaalwetenschappen",[],,,
FALSE,KT3701,Bio-informatica,https://studiegids.tudelft.nl/a101_displayCourse.do?course_id=61181,No,BSc,"Werktuigbouwkunde, Maritieme Techniek & Technische Materiaalwetenschappen",[],,,
FALSE,KT3801,Klinisch Technologisch Eindproject,https://studiegids.tudelft.nl/a101_displayCourse.do?course_id=61174,No,BSc,"Werktuigbouwkunde, Maritieme Techniek & Technische Materiaalwetenschappen",[],,,
FALSE,KT3900,Klinische Vaardigheden en Professioneel Gedrag 3,https://studiegids.tudelft.nl/a101_displayCourse.do?course_id=61179,No,BSc,"Werktuigbouwkunde, Maritieme Techniek & Technische Materiaalwetenschappen",[],,,
FALSE,KT3951A,Academische Vorming 3,https://studiegids.tudelft.nl/a101_displayCourse.do?course_id=61177,No,BSc,"Werktuigbouwkunde, Maritieme Techniek & Technische Materiaalwetenschappen",[],,,
FALSE,KT3951B,Essay Academische Vorming / KTO,https://studiegids.tudelft.nl/a101_displayCourse.do?course_id=61178,No,BSc,"Werktuigbouwkunde, Maritieme Techniek & Technische Materiaalwetenschappen",[],,,
FALSE,ME41000,Automotive Human Factors,https://studiegids.tudelft.nl/a101_displayCourse.do?course_id=60985,No,MSc,"Mechanical, Maritime and Materials Engineering",[],,,
FALSE,ME41006,Musculoskeletal Modeling and Simulation,https://studiegids.tudelft.nl/a101_displayCourse.do?course_id=63073,No,MSc,"Mechanical, Maritime and Materials Engineering",[],,,
FALSE,ME41035,Special Topics in Sports Engineering,https://studiegids.tudelft.nl/a101_displayCourse.do?course_id=60825,No,MSc,"Mechanical, Maritime and Materials Engineering",[],,,
FALSE,ME41055,Multibody Dynamics B,https://studiegids.tudelft.nl/a101_displayCourse.do?course_id=60816,No,MSc,"Mechanical, Maritime and Materials Engineering",[],,,
FALSE,ME41065,System Identification and Parameter Estimation,https://studiegids.tudelft.nl/a101_displayCourse.do?course_id=60834,No,MSc,"Mechanical, Maritime and Materials Engineering",[],,,
FALSE,ME41085,Biomechatronics,https://studiegids.tudelft.nl/a101_displayCourse.do?course_id=60823,No,MSc,"Mechanical, Maritime and Materials Engineering",[],,,
FALSE,ME41096,Bio Inspired Design,https://studiegids.tudelft.nl/a101_displayCourse.do?course_id=63867,No,MSc,"Mechanical, Maritime and Materials Engineering",[],,,
FALSE,ME41106,Intelligent Vehicles 3ME,https://studiegids.tudelft.nl/a101_displayCourse.do?course_id=60799,No,MSc,"Mechanical, Maritime and Materials Engineering",[],,,
FALSE,ME41120,Freehand Sketching of Products and Mechanisms,https://studiegids.tudelft.nl/a101_displayCourse.do?course_id=60828,No,MSc,"Mechanical, Maritime and Materials Engineering",[],,,
FALSE,ME41125,Introduction to Engineering Research,https://studiegids.tudelft.nl/a101_displayCourse.do?course_id=60842,No,MSc,"Mechanical, Maritime and Materials Engineering",[],,,
FALSE,ME44101,Dynamics and Interaction of Material and Equipment,https://studiegids.tudelft.nl/a101_displayCourse.do?course_id=60928,No,MSc,"Mechanical, Maritime and Materials Engineering",[],,,
FALSE,ME44106,Structural Design with FEM,https://studiegids.tudelft.nl/a101_displayCourse.do?course_id=60933,No,MSc,"Mechanical, Maritime and Materials Engineering",[],,,
TRUE,ME44110,Integrated Design Project for Multi-Machine Systems,https://studiegids.tudelft.nl/a101_displayCourse.do?course_id=60929,Yes,MSc,"Mechanical, Maritime and Materials Engineering","[9, 11]",,,
FALSE,ME44115,Discrete Element Method (DEM) simulation,https://studiegids.tudelft.nl/a101_displayCourse.do?course_id=60937,No,MSc,"Mechanical, Maritime and Materials Engineering",[],,,
FALSE,ME44125,Reliability and Maintenance of Transport Equipment,https://studiegids.tudelft.nl/a101_displayCourse.do?course_id=60938,No,MSc,"Mechanical, Maritime and Materials Engineering",[],,,
FALSE,ME44200,Operations and Maintenance,https://studiegids.tudelft.nl/a101_displayCourse.do?course_id=60930,No,MSc,"Mechanical, Maritime and Materials Engineering",[],,,
FALSE,ME44206,Quantitative Methods for Logistics,https://studiegids.tudelft.nl/a101_displayCourse.do?course_id=60927,No,MSc,"Mechanical, Maritime and Materials Engineering",[],,,
FALSE,ME44210,Drive & Energy Systems,https://studiegids.tudelft.nl/a101_displayCourse.do?course_id=60797,No,MSc,"Mechanical, Maritime and Materials Engineering",[],,,
FALSE,ME44300,Multi-Machine Coordination for Logistics,https://studiegids.tudelft.nl/a101_displayCourse.do?course_id=60931,No,MSc,"Mechanical, Maritime and Materials Engineering",[],,,
FALSE,ME44305,System Analysis and Simulation,https://studiegids.tudelft.nl/a101_displayCourse.do?course_id=60932,No,MSc,"Mechanical, Maritime and Materials Engineering",[],,,
FALSE,ME44311,Advanced Operations and Production Management,https://studiegids.tudelft.nl/a101_displayCourse.do?course_id=60936,No,MSc,"Mechanical, Maritime and Materials Engineering",[],,,
TRUE,ME44312,Machine Learning for Transport and Multi-Machine Systems,https://studiegids.tudelft.nl/a101_displayCourse.do?course_id=60934,Yes,MSc,"Mechanical, Maritime and Materials Engineering",[],,,
FALSE,ME45001,Advanced Heat Transfer,https://studiegids.tudelft.nl/a101_displayCourse.do?course_id=60796,No,MSc,"Mechanical, Maritime and Materials Engineering",[],,,
FALSE,ME45025,Introduction to Multiphase Flow,https://studiegids.tudelft.nl/a101_displayCourse.do?course_id=60860,No,MSc,"Mechanical, Maritime and Materials Engineering",[],,,
FALSE,ME45030,Turbulence,https://studiegids.tudelft.nl/a101_displayCourse.do?course_id=60853,No,MSc,"Mechanical, Maritime and Materials Engineering",[],,,
FALSE,ME45042,Advanced Fluid Dynamics,https://studiegids.tudelft.nl/a101_displayCourse.do?course_id=60798,No,MSc,"Mechanical, Maritime and Materials Engineering",[],,,
FALSE,ME45043,Advanced Fluid Dynamics for AP,https://studiegids.tudelft.nl/a101_displayCourse.do?course_id=62688,No,MSc,"Mechanical, Maritime and Materials Engineering",[],,,
TRUE,ME45070,Advanced Reaction & Separation Systems,https://studiegids.tudelft.nl/a101_displayCourse.do?course_id=60854,Yes,MSc,"Mechanical, Maritime and Materials Engineering","[9, 12]",,,
TRUE,ME45075,Refrigeration & Heat Pumps Fundamentals,https://studiegids.tudelft.nl/a101_displayCourse.do?course_id=60863,Yes,MSc,"Mechanical, Maritime and Materials Engineering",[],,,
TRUE,ME45111,Buildings as Energy and Indoor Climate Systems,https://studiegids.tudelft.nl/a101_displayCourse.do?course_id=60874,Yes,MSc,"Mechanical, Maritime and Materials Engineering","[7, 9, 11, 13]",,,
FALSE,ME45135,Process and Power Plant Design,https://studiegids.tudelft.nl/a101_displayCourse.do?course_id=60855,No,MSc,"Mechanical, Maritime and Materials Engineering",[],,,
