Field name,Course code///Vakcode,Course name///Vaknaam,Link,Sustainable course?///Duurzaam vak?,Level///Niveau,Faculty///Faculteit,Program,SDGs///SDG's,Comments///Toelichting,comparison_status,color,sdgs_chatgpt,sdgs_manual,Internal comments
FALSE,,Polymer Science,,No,MSc,,,[],DB-22-23.csv,only_manual,BROWN,[],[],comparison_status=only_manual;color=BROWN;sdgs_chatgpt=[];sdgs_manual=[]
FALSE,,Lab Course Track A-2,,No,BSc,,,[],DB-22-23.csv,only_manual,BROWN,[],[],comparison_status=only_manual;color=BROWN;sdgs_chatgpt=[];sdgs_manual=[]
FALSE,,Lab Course Track B-2,,No,BSc,,,[],DB-22-23.csv,only_manual,BROWN,[],[],comparison_status=only_manual;color=BROWN;sdgs_chatgpt=[];sdgs_manual=[]
FALSE,,Mechanics and Theory of Relativity,,No,BSc,,,[],DB-22-23.csv,only_manual,BROWN,[],[],comparison_status=only_manual;color=BROWN;sdgs_chatgpt=[];sdgs_manual=[]
FALSE,4051ALACH,Algemene en Anorganische Chemie,,No,BSc,,,[],DB-22-23.csv,only_manual,BROWN,[],[],comparison_status=only_manual;color=BROWN;sdgs_chatgpt=[];sdgs_manual=[]
TRUE,4051ALACHY,,,Yes,BSc,Applied Sciences,,"[7, 9]",,only_chatgpt,RED,"[7, 9]",[],"comparison_status=only_chatgpt;color=RED;sdgs_chatgpt=[7, 9];sdgs_manual=[]"
FALSE,4051CALC1,Calculus 1,,No,BSc,,,[],DB-22-23.csv,only_manual,BROWN,[],[],comparison_status=only_manual;color=BROWN;sdgs_chatgpt=[];sdgs_manual=[]
FALSE,4051CALC1Y,,,No,BSc,Applied Sciences,,[],,only_chatgpt,RED,[],[],comparison_status=only_chatgpt;color=RED;sdgs_chatgpt=[];sdgs_manual=[]
FALSE,4051CALC2,Calculus 2,,No,BSc,,,[],DB-22-23.csv,only_manual,BROWN,[],[],comparison_status=only_manual;color=BROWN;sdgs_chatgpt=[];sdgs_manual=[]
FALSE,4051CALC2Y,,,No,BSc,Applied Sciences,,[],,only_chatgpt,RED,[],[],comparison_status=only_chatgpt;color=RED;sdgs_chatgpt=[];sdgs_manual=[]
FALSE,4051CHAN3,Chemische Analysemethoden,,No,BSc,,,[],DB-22-23.csv,only_manual,BROWN,[],[],comparison_status=only_manual;color=BROWN;sdgs_chatgpt=[];sdgs_manual=[]
FALSE,4051CHAN3Y,,,No,BSc,Applied Sciences,,[],,only_chatgpt,RED,[],[],comparison_status=only_chatgpt;color=RED;sdgs_chatgpt=[];sdgs_manual=[]
FALSE,4051CHTHE,Chemische Thermodynamica (CTD),,No,BSc,,,[],DB-22-23.csv,only_manual,BROWN,[],[],comparison_status=only_manual;color=BROWN;sdgs_chatgpt=[];sdgs_manual=[]
FALSE,4051CHTHEY,,,No,BSc,Applied Sciences,,[],,only_chatgpt,RED,[],[],comparison_status=only_chatgpt;color=RED;sdgs_chatgpt=[];sdgs_manual=[]
TRUE,4051INCHE,Anorganische Chemie,,Yes,BSc,Applied Sciences,,[3],DB-22-23.csv,mismatch,ORANGE,[3],[],comparison_status=mismatch;color=ORANGE;sdgs_chatgpt=[3];sdgs_manual=[]
FALSE,4051IPTEC,Inleiding Procestechnologie,,No,BSc,,,[],DB-22-23.csv,only_manual,BROWN,[],[],comparison_status=only_manual;color=BROWN;sdgs_chatgpt=[];sdgs_manual=[]
FALSE,4051IPTECY,,,No,BSc,Applied Sciences,,[],,only_chatgpt,RED,[],[],comparison_status=only_chatgpt;color=RED;sdgs_chatgpt=[];sdgs_manual=[]
FALSE,4051LEON1,Leren onderzoeken 1 (LO1),,No,BSc,,,[],DB-22-23.csv,only_manual,BROWN,[],[],comparison_status=only_manual;color=BROWN;sdgs_chatgpt=[];sdgs_manual=[]
FALSE,4051LEON1Y,,,No,BSc,Applied Sciences,,[],,only_chatgpt,RED,[],[],comparison_status=only_chatgpt;color=RED;sdgs_chatgpt=[];sdgs_manual=[]
FALSE,4051OCSTR,Organische Chemie en Structuuranalyse,,No,BSc,,,[],DB-22-23.csv,only_manual,BROWN,[],[],comparison_status=only_manual;color=BROWN;sdgs_chatgpt=[];sdgs_manual=[]
FALSE,4051OCSTRY,,,No,BSc,Applied Sciences,,[],,only_chatgpt,RED,[],[],comparison_status=only_chatgpt;color=RED;sdgs_chatgpt=[];sdgs_manual=[]
FALSE,4051PRBVA,Practicum Basisvaardigheden (PBV),,No,BSc,,,[],DB-22-23.csv,only_manual,BROWN,[],[],comparison_status=only_manual;color=BROWN;sdgs_chatgpt=[];sdgs_manual=[]
FALSE,4051QCHFY,Quantum Chemie en Fysica,,No,BSc,,,[],DB-22-23.csv,only_manual,BROWN,[],[],comparison_status=only_manual;color=BROWN;sdgs_chatgpt=[];sdgs_manual=[]
FALSE,4052BIOC6,Biochemie,,No,BSc,,,[],DB-22-23.csv,only_manual,BROWN,[],[],comparison_status=only_manual;color=BROWN;sdgs_chatgpt=[];sdgs_manual=[]
FALSE,4052BMOCH,Biomolecular Chemistry (BMC),,No,BSc,,,[],DB-22-23.csv,only_manual,BROWN,[],[],comparison_status=only_manual;color=BROWN;sdgs_chatgpt=[];sdgs_manual=[]
TRUE,4052CHBIO,Chemical Biotechnology (CBT),,Yes,BSc,,,"[7, 9, 12, 13]",DB-22-23.csv,only_manual,BROWN,[],"[7, 9, 12, 13]","comparison_status=only_manual;color=BROWN;sdgs_chatgpt=[];sdgs_manual=[7, 9, 12, 13]"
FALSE,4052CHFVS,Chemie en fysica van vaste stoffen,,No,BSc,,,[],DB-22-23.csv,only_manual,BROWN,[],[],comparison_status=only_manual;color=BROWN;sdgs_chatgpt=[];sdgs_manual=[]
FALSE,4052CHREK,Chemical Reactor Engineering,,No,BSc,,,[],DB-22-23.csv,only_manual,BROWN,[],[],comparison_status=only_manual;color=BROWN;sdgs_chatgpt=[];sdgs_manual=[]
TRUE,4052ENRV6,"Energie, recycling en veiligheid",,Yes,BSc,,,"[7, 9, 12, 13]",DB-22-23.csv,only_manual,BROWN,[],"[7, 9, 12, 13]","comparison_status=only_manual;color=BROWN;sdgs_chatgpt=[];sdgs_manual=[7, 9, 12, 13]"
FALSE,4052FYSC6,Fysiologische chemie,,No,BSc,,,[],DB-22-23.csv,only_manual,BROWN,[],[],comparison_status=only_manual;color=BROWN;sdgs_chatgpt=[];sdgs_manual=[]
