Course code,Course Name,,Level,SDG 1               No Poverty,SDG 2         Zero Hunger,SDG 3       Good Health & Well-Being,SDG 4         Quality Education,SDG 5         Gender Equality,SDG 6         Clean Water & Sanitation,SDG 7         Affordable & Clean Energy,SDG 8         Decent Work & Economic Growth,"SDG 9         Industry, Innovation & Infrastructure",SDG 10         Reduced Inequalities,SDG 11         Sustainable Cities & Communities,SDG 12         Responsible Consumption & Production,SDG 13         Climate Action,SDG 14         Life Below Water,SDG 15         Life On Land,"SDG 16         Peace, Justice & Strong Institutions",SDG 17         Partnerships for the Goals
AE1108-I,Aerospace Materials,"materials, microstructure, sustainability, circularity, environmental impact, durability, degradation, material selection, efficiency, innovation",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
AE2224-II,Artificial Intelligence for Aerospace Engineering ,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
AE2230-II,Propulsion en Power ,"propulsion, gas turbines, rockets, photovoltaics, batteries, fuel cells, power systems, thrust, cycle analysis, system sizing",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AE3200,Design Synthesis ,"energy, innovation, lifecycle, emissions, mobility, resilience, efficiency, materials, environment, infrastructure",,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
 AE3211-II,Production of Aerospace Systems,"manufacturing, sustainability, lifecycle, materials, processes, impact, automation, quality, emissions, production",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
 AE3501-25,Air Transportation,"aviation, infrastructure, regulation, operations, sustainability, emissions, efficiency, technology, logistics, governance",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
AE3502-14,"Airport Planning, Design and Operations","infrastructure, capacity, demand, noise, environment, planning, design, airports, policy, efficiency",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
AE3503,Strategic Planning for Airport Systems,"infrastructure, planning, demand, capacity, environment, security, policy, governance, strategy, airport",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AE3512-20,Asset Management,"wind energy, lifecycle, maintenance, RAMS, optimization, infrastructure, reliability, sustainability, monitoring, costs",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
AE3513,Integration Assignment,"offshore wind, renewable energy, innovation, infrastructure, climate, future challenges, sustainability, systems, development",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
