Course code,Course Name,Keywords,Level,SDG 1               No Poverty,SDG 2         Zero Hunger,SDG 3       Good Health & Well-Being,SDG 4         Quality Education,SDG 5         Gender Equality,SDG 6         Clean Water & Sanitation,SDG 7         Affordable & Clean Energy,SDG 8         Decent Work & Economic Growth,"SDG 9         Industry, Innovation & Infrastructure",SDG 10         Reduced Inequalities,SDG 11         Sustainable Cities & Communities,SDG 12         Responsible Consumption & Production,SDG 13         Climate Action,SDG 14         Life Below Water,SDG 15         Life On Land,"SDG 16         Peace, Justice & Strong Institutions",SDG 17         Partnerships for the Goals
4413BYGR5,Beyond Growth ,"climate crisis, nature crisis, inequality, sustainability, post-growth, degrowth, green growth, Doughnut Economics, ecological limits, institutions, global north–south, implementation barriers",MSc,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
4413CIRC5,Circular Economy ,"circular economy, sustainability, resource cycles, metrics, governance, business models, technological options",MSc,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
 4413EASYS,Earth System Science and Analysis,"Earth system, biosphere, geosphere, hydrosphere, atmosphere, carbon cycle, nutrient cycle, water cycle, planetary pressures, sustainability, Earth resources, system dynamics",MSc,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
4413EIOAT,Environmental Input-Output Analysis ,"environmental footprints, carbon footprint, CO₂ emissions, sustainability, circular economy, international trade, agriculture, environmental pressures, supply chains, environmental–economic modelling",MSc,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
4413GIS20,GIS: Spatial analysis in urban regions ,"industrial ecology, urban mining, land-use change, environmental impacts, material stocks, supply chains, spatial analysis, GIS",MSc,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
4413INTPR,Integrated Project: Industrial and Urban Systems ,"urban systems, industrial systems, energy–water–materials flows, eco-industrial parks, circular economy, urban planning, system modelling, resource flows, industrial symbiosis, trade-offs, synergies, spatial interventions, sustainability assessment, stakeholder analysis, integrated design",MSc,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
4413LCA10,LCA Practice en Reporting ,"ife cycle assessment, environmental impact, product systems, inventory data, impact modeling, openLCA, sustainability metrics, methodological choices, system boundaries, interpretation, environmental burdens, quantitative assessment",MSc,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
4413MAPPT,Methods: Analysing Physical Processes,"industrial ecology tools, MFA/SFA, LCA, EEIOA, resource flows, environmental impacts, systems analysis, sustainability metrics, analytical modelling, software-based assessment",MSc,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
4413MASPL,Methods: Analysing Social Processes ,"social research, theory building, hypotheses, surveys, interviews, case studies, mixed methods, modelling, simulation, societal systems, behaviour, governance",MSc,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
4413MFA10,Material Flow Analysis ,"material flows, stocks, circular economy, waste management, resource efficiency, critical materials, decoupling, sustainability modelling, dynamic MFA, indicators, visualisation",MSc,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
4413SDIEL,System Design for Industrial Ecology ,"systems thinking, interconnectedness, feedback loops, causality, system boundaries, network topology, dynamic behaviour, complexity, system mapping, system design, leverage points, scenario analysis, sustainability assessment",MSc,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
4413SOCMB,Society's Metabolism ,"societal metabolism, material flows, energy flows, Anthropocene, environmental pressures, global sustainability, resource use, emissions, food–water–energy systems, metabolic drivers & impacts, assessment methods, metrics & frameworks, socio-ecological responsibility, blue engineering, interdisciplinary analysis",MSc,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
4413SUAP6,Sustainability Analysis in Python ,,MSc,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
4413SUSAP,Sustainability Analysis in Python ,,MSc,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
4413SUSCH,Sustainability Challenge ,,MSc,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4413TRIGL,"Transitions, Innovation en Governance ","Sustainability transitions, socio-technical systems, transition governance, innovation systems, eco-innovation, social innovation, responsible innovation, backcasting, transition management, policy instruments, politics & power, business-model innovation, just transitions, energy transition, circular economy transition.",MSc,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
4413TRP30Y,Thesis Research Project ,,MSc,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
EPA111A,Policy Analysis for International Challenges,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
EPA113A,Political Decision Making,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
EPA121A,Actor and Strategy Models,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
EPA122A,Spatial Data Science,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
EPA131A,Behaviour in Transitions,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
EPA132A,Advanced System Dynamics,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
EPA141A,Model-based Decision-Making,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
