Field name,Course code///Vakcode,Course name///Vaknaam,Link,Sustainable course?///Duurzaam vak?,Level///Niveau,Faculty///Faculteit,SDGs///SDG's
FALSE,1.253.420,Machine Learning,https://studiegids.tudelft.nl/courses/study-guide/educations/22193,No,MSc,External institution,[]
FALSE,4.100.220,Finite Elements in Fluids,https://studiegids.tudelft.nl/courses/study-guide/educations/22194,No,MSc,External institution,[]
FALSE,4051ALACH,General and Inorganic Chemistry,https://studiegids.tudelft.nl/courses/study-guide/educations/16939,No,BSc,Applied Sciences,[]
FALSE,4051CALC1,Calculus 1,https://studiegids.tudelft.nl/courses/study-guide/educations/16940,No,BSc,Applied Sciences,[]
FALSE,4051CALC2,Calculus 2,https://studiegids.tudelft.nl/courses/study-guide/educations/16941,No,BSc,Applied Sciences,[]
FALSE,4051CHAN3,Methods of Chemical Analysis,https://studiegids.tudelft.nl/courses/study-guide/educations/16942,No,BSc,Applied Sciences,[]
FALSE,4051CHTHE,Chemical Thermodynamics,https://studiegids.tudelft.nl/courses/study-guide/educations/16943,No,BSc,Applied Sciences,[]
FALSE,4051INCHE,Inorganic Chemistry,https://studiegids.tudelft.nl/courses/study-guide/educations/16944,No,BSc,Applied Sciences,[]
FALSE,4051IPTEC,Introduction to Process Technology,https://studiegids.tudelft.nl/courses/study-guide/educations/16945,No,BSc,Applied Sciences,[]
TRUE,4051LEON1,Undergraduate Research Project 1,https://studiegids.tudelft.nl/courses/study-guide/educations/16946,Yes,BSc,Applied Sciences,[16]
FALSE,4051ORGC1,Organic Chemistry 1,https://studiegids.tudelft.nl/courses/study-guide/educations/16947,No,BSc,Applied Sciences,[]
FALSE,4051PRBVA,Basic Laboratory Skills Course,https://studiegids.tudelft.nl/courses/study-guide/educations/16948,No,BSc,Applied Sciences,[]
FALSE,4051QCHFY,Quantum Chemistry and Physics,https://studiegids.tudelft.nl/courses/study-guide/educations/16949,No,BSc,Applied Sciences,[]
FALSE,4051STRUA,Structure Elucidation,https://studiegids.tudelft.nl/courses/study-guide/educations/23460,No,BSc,Applied Sciences,[]
FALSE,4052BIOC6,Biochemistry,https://studiegids.tudelft.nl/courses/study-guide/educations/17173,No,BSc,Applied Sciences,[]
FALSE,4052BMOCH,Biomolecular Chemistry,https://studiegids.tudelft.nl/courses/study-guide/educations/17184,No,BSc,Applied Sciences,[]
TRUE,4052CHBIO,Chemical Biotechnology,https://studiegids.tudelft.nl/courses/study-guide/educations/17188,Yes,BSc,Applied Sciences,"[12, 13]"
FALSE,4052CHFVS,Chemistry and Physics of Solid Materials,https://studiegids.tudelft.nl/courses/study-guide/educations/17180,No,BSc,Applied Sciences,[]
FALSE,4052CHREK,Chemical Reactor Engineering,https://studiegids.tudelft.nl/courses/study-guide/educations/17196,No,BSc,Applied Sciences,[]
